Score|Industry|Year Founded|URLtrim|Recurring Revenue (million)|Margins|Stable Cash Flow|Industry Growth|Fragmented Industry|Straightforward Operations|Exogenous Risk|Barriers to Entry|Employee Estimate|Stickiness|Supplier Power|Customer Power|Service vs Project/Product|Longterm Relationships|Customer Concentration
Accept|managed IT services|1972|netces.com|26|medium|medium|medium|medium|yes|low|medium|51-200|medium|medium|medium|service|yes|medium
Accept|medical equipment repair services|1995|dbmedic.com|13|high|medium|medium|low|yes|medium|medium|51-200|medium|medium|medium|product|no|medium
reject|medical design services|2011|medicaldesignsolutions.com|0.05|low|low|medium|low|no|medium|medium|2-10|low|low|high|product|no|low
Reject|distributor sell hospital equipment|2008|michiganmedicalproducts.com|0.4|medium|low|low|low|yes|medium|medium|2-10|low|low|high|product|no|low
Reject|nonprofit treatment information|2008|northwestcardio.com|1.5|medium|low|medium|low|no|medium|low|2-10|medium|medium|medium|service|yes|medium
Reject|manufacturer medical device|1987|lighthouseoptics.com|1.5|medium|low|medium|low|no|medium|low|2-10|medium|medium|medium|product|no|medium
Reject|IT fraud detection service|2006|darkreading.com|48|high|high|high|low|no|medium|medium|51-200|high|medium|medium|service|yes|medium
Reject|nonprofit research|2007|cv2i.org|0.3|medium|low|medium|low|no|medium|medium|2-10|medium|medium|medium|service|no|medium
Reject|service contact electrician|2008|electricianprotoday.com|1|medium|medium|medium|low|no|low|high|2-10|medium|low|medium|service|yes|low
Reject|clinical trial|2015|navitaslifesciences.com|3.9|medium|medium|medium|low|yes|low|medium|201-1000|medium|low|high|service|yes|high
Reject|staffing service|1998|deare.com|0.2|high|medium|high|medium|yes|low|low|2-10|medium|low|high|service|yes|high
Reject|heart surgery|1980|childrensheartcenter.com|6.4|medium|medium|medium|low|no|low|high|51-200|high|high|medium|service|yes|medium
Reject|physician service|2008|uoflphysicians.com|7.2|low|medium|high|medium|no|medium|high|51-200|high|medium|medium|service|yes|medium
Reject|heart treatment|2008|heartteam.com|4.5|low|medium|high|medium|no|medium|high|51-200|high|medium|medium|service|yes|medium
Reject|joint treatment knee shoulder|2008|cayennemedical.com|15|medium|medium|medium|low|no|low|high|51-200|high|medium|medium|product|yes|medium
Reject|distributor sell retailer hospital equipment supplies|2008|gtbmedical.net|1|medium|low|medium|medium|yes|low|low|2-10|high|low|high|service|yes|low
Reject|heart surgery|2008|childrenscvm.com|0.1|medium|medium|medium|medium|no|medium|high|2-10|high|high|medium|service|yes|low
Reject|medical and surgical hospital|1970|yumaregional.org|21|medium|medium|medium|medium|no|medium|high|51-200|medium|medium|medium|service|yes|low
Reject|foreign not us healthcare hospital clinic|2003|bigseamedical.com|23|medium|medium|high|low|no|medium|high|51-200|low|medium|medium|service|no|low
Reject|radio|2008|arrl.org|9.8|low|low|medium|high|yes|low|low|51-200|high|medium|medium|service|yes|low
Reject|distributor sell refurbished products|1971|sohnen.com|12|low|medium|low|high|yes|low|high|51-200|high|medium|medium|service|yes|medium
Reject|hospital heathcare|1968|nfrmc.com|4.6|medium|medium|medium|medium|no|medium|high|51-200|medium|medium|medium|service|yes|medium
Reject|Diagnostic?|2008|cardiopulmonarydiagnostic.com|4.1|medium|low|medium|high|no|low|medium|201-1000|low|medium|medium|service|yes|low
Reject|manufacturer heart device|1972|endeprofab.com|0.07|low|low|medium|medium|no|high|high|2-10|medium|low|medium|service|yes|high
Reject|investments in middle-market companies|1992|mcmcapital.com|40|medium|medium|medium|low|yes|medium|low|51-200|medium|medium|medium|service|yes|medium
Reject|manufacturer devices foot and ankle surgery|2014|treace.com|1.2|medium|low|low|high|yes|low|low|51-200|low|low|medium|product|no|low
Reject|online magazine pharmaceutical news|2008|pharmexec.com|1|low|low|low|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|marketing communication consulting|1995|medicalmarcom.com|8.3|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|manufacte medical device|1977|itlmedical.com|1|medium|medium|medium|medium|yes|low|medium|2-10|medium|medium|medium|product|yes|low
Reject|marketing rebranding consulting|2008|stealingshare.com|10|low|low|medium|low|yes|low|low|2-10|low|low|high|service|yes|low
Reject|IT marketing data technology consulting|2008|infoclutch.com|1|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|low
Reject|IT development project management consulting|1969|solugenix.com|72|medium|medium|high|high|yes|low|low|51-200|low|low|high|service|yes|low
Reject|foreign not us media|2008|prizmmedia.com|1|low|low|high|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|education|2008|slcccontinuinged.com|2.8|low|medium|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|forensic accounting consulting|2002|fulcrum.com|1|medium|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|marketing sales consulting|1986|medjobs.com|10|medium|low|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|internet marketing consulting|2008|marketing1on1.com|1|medium|low|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|recruiting Sales and Marketing headhunter consulting|1995|warnersearchgroup.com|1|medium|low|medium|low|no|medium|medium|201-1000|medium|medium|medium|service|yes|low
Reject|marketing consulting|1995|pm360online.com|4.2|medium|low|medium|low|no|medium|medium|51-200|medium|medium|medium|service|yes|low
Reject|manufacturer|1969|webindustries.com|22|medium|low|medium|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|Executive?Recruiting?consulting|2005|jrgpartners.com|1|low|medium|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|original design manufacturer|2001|parpro.com|1|medium|medium|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|marketig consulting|2001|greymattermarketing.com|2.6|medium|low|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|online marketing consulting|1966|mmm-online.com|3.2|medium|low|medium|high|yes|low|low|51-200|low|medium|medium|service|yes|low
Reject|manufacturer metal fabriction|1954|fairlawntool.com|1|medium|medium|low|high|yes|medium|medium|51-200|medium|medium|medium|product|yes|medium
Reject|foreign recruiting consulting|2008|connectedgroup.com|1|low|medium|medium|high|yes|low|low|11-50|low|low|high|service|yes|low
Reject|healthcare recruiting consulting|1928|oncall-llc.com|29|medium|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|marketig consulting|1986|levelbrand.com|3|medium|medium|high|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|transalting language service|1998|alsglobal.net|10|medium|low|low|high|yes|low|low|2-10|low|low|high|service|no|low
Reject|recruiting consulting|2005|growductivity.com|2.9|medium|medium|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|IT asset disposal and data destruction|1997|maxxum.com|13|medium|medium|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|marketing branding consulting|1998|parkerwhite.com|3.9|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|contract manufacturing|1990|paramit.com|38|medium|medium|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|contract engineering and manufacturing|1991|segue-mfg.com|40|medium|medium|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Reject|marketing consulting|2000|equibrandconsulting.com|5|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|asset management investment consulting|1994|rccf.com|4|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|healthcare digital marketing|2008|practisinc.com|26|medium|medium|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|city service consulting bring business to Rockville|1997|rockvilleredi.org|5|low|low|high|high|yes|low|low|11-50|low|medium|medium|service|no|low
Reject|consulting marketing|2010|mindstreamcreative.com|1|medium|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|foreign, located in India, business consulting|2013|skpgroup.com|25|low|medium|high|high|yes|low|low|201-1000|medium|medium|medium|service|yes|medium
Reject|manufacturer and distributor sell medical device|1965|mendell.com|50|medium|medium|high|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|consulting marketing|1998|finalstepmarketing.com|1|medium|low|high|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Reject|consulting marketing public relations|2008|odwyerpr.com|0.5|medium|low|high|high|yes|low|low|2-10|medium|low|high|service|yes|low
Reject|foreign, located in India, business consulting|2003|aranca.com|1|medium|medium|high|high|yes|low|low|201-1000|medium|medium|medium|product|yes|medium
Reject|recruitment staffing consulting|2008|medicalrecruiters.com|22|medium|low|medium|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|marketing real estate consulting|2014|enradius.com|3|low|low|medium|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|marketing healthcare consulting|2014|medicoreach.com|1|medium|low|medium|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|interview tools, no website|2008|interviewing.com|5|low|low|low|high|yes|low|low|11-50|medium|low|high|service|yes|low
Reject|online forum, medical treatment information exchange|1964|diaglobal.org|1|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|packing manufacturer medical|1987|precise-pak.com|1|medium|medium|low|high|yes|low|low|2-10|medium|low|high|product|yes|medium
Reject|metal fabrication manufacturer|1956|vista-industrial.com|25|low|low|low|high|yes|medium|low|201-1000|medium|low|high|product|yes|medium
Reject|medical devices manufacturer|2010|ventamedical.com|6.5|low|low|medium|high|yes|low|low|51-200|medium|low|high|product|yes|low
Reject|IT recruiting stuffing consulting|1988|jacobsmgt.com|7|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|low
Reject|marketing consulting|2008|knightmarketing.com|18|medium|low|high|high|yes|low|low|2-10|medium|low|high|service|yes|low
Reject|manufacturer cutting welding machines|1956|precoinc.com|7|low|low|low|high|yes|low|low|11-50|medium|low|high|product|yes|medium
Reject|assembly service|2008|emsginc.com|10|low|low|low|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|medical device manufacturer|2004|sensile-medical.com|10|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|low
Reject|medical device manufacturer|1982|valtronic.com|28|medium|medium|high|high|yes|low|low|11-50|low|low|high|product|yes|low
Reject|medical device manufacturer|1996|bcsmachine.com|11|medium|medium|high|high|yes|low|low|11-50|low|low|high|product|yes|low
Reject|medical device manufacturer|2005|jademed.com|10|low|low|high|high|yes|low|low|11-50|low|low|high|product|yes|low
Reject|electrical device manufacturer|1985|megadyne.com|20|low|low|high|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|medical device manufacturer|2008|aspirebiotech.com|1|low|low|high|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|marketing consulting, foreigh, located in germany|2008|klaasconsulting.com|1|medium|medium|high|high|yes|low|low|201-1000|medium|medium|medium|product|yes|medium
Reject|healthcare orthotic and prosthetic care|1940|americanlimb.com|17|medium|medium|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|low
Reject|medical device manufacturer|1980|barilcorp.com|20|medium|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|low
Reject|IT development, search engine|2004|moz.com|44|low|low|medium|high|yes|low|low|51-200|medium|low|high|product|yes|low
Reject|medical device manufacturer|1950|enoshomemedical.com|4|low|low|medium|high|yes|low|low|51-200|medium|low|high|product|yes|low
Reject|medical device manufacturer|2016|mountmfg.com|1|low|low|medium|high|yes|low|low|2-10|medium|low|high|product|yes|low
Reject|medical device manufacturer|2008|medical device manufacturer|1|low|low|medium|high|yes|low|low|2-10|medium|low|high|product|no|low
Reject|website, career information sharing|2008|jobshadow.com|1|low|low|medium|high|yes|low|low|2-10|medium|low|high|product|no|low
Reject|healthcare recruiting stuffing consulting|2008|sterlinglifesciences.com|11|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|low
Reject|distributor medical supplies|2008|discountmedicalrva.com|23|medium|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Reject|biopharmaceutical consulting |2002|cuttingedgeinfo.com|13|medium|medium|high|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|medical device manufacturer|1989|breg.com|37|medium|medium|high|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|real estate broker service|1988|maquilaproperties.com|1.8|low|low|high|high|yes|medium|low|11-50|low|low|high|service|no|low
Reject|manufacturer machine parts|2002|rebuildingfactory.com|29|low|low|high|high|yes|medium|low|51-200|low|low|high|service|no|low
Reject|healthcare recruiting stuffing consulting|1994|medicalrecruitersincorporated.com|1|low|low|high|high|yes|medium|low|2-10|low|low|high|service|no|low
Reject|medical device manufacturer|1953|primomedicalgroup.com|1|low|low|high|high|yes|medium|low|2-10|low|low|high|product|yes|medium
Reject|medical device manufacturer|1986|xeridiem.com|25|medium|low|medium|high|yes|low|low|201-1000|medium|low|high|product|yes|medium
Reject|legal service|1960|kramerandkramer.com|1|medium|low|medium|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Accept|hazardous materials and inspection training services|1982|aidtrain.com|0.5|medium|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|low
Accept|commercial cleaning services|1983|alliancemaintenance.com|0.7|medium|low|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Accept|water tank services|1962|americanpipeandtank.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|no|low
Accept|oil and propane delivery services|1987|beaudryoilpropanedieselfuel.com|0.5|medium|medium|medium|high|yes|low|low|2-10|low|low|high|product|no|low
Accept|energy inspection services|1986|cci-inspection.com|0.5|medium|low|medium|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Reject|technology and marketing support service|1936|aamanet.org|7|low|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|septic inspection service|1995|abc-septic-service.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|yes|low
Reject|non-profit association for the small businesses|1968|acca.org|4|low|low|low|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|non-profit facilitate recycling agriculture|2008|acrecycle.org|4|low|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|non-profit water protection|1979|acwajpia.com|12|low|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|recruiting and staffing consulting|1983|aerotek.com|35|medium|medium|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|septic waste management consulting|2006|aesnm.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|septic service consulting|1995|affordable-sewers.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|construction fire and water restoration|1974|ai-restoration.com|0.5|medium|medium|low|high|yes|low|low|51-200|low|low|high|service|yes|low
Reject|construction lighting strick protection|1991|alltecglobal.com|0.5|medium|low|low|high|yes|low|low|11-50|low|low|high|product|yes|low
Accept|enviormental regulatory testing and certification |1991|cleanroomcertification.com|0.5|low|low|low|high|yes|low|low|2-10|low|medium|medium|service|no|low
Accept|technology for mortgage and real estate|2006|closing.com|5|low|low|medium|high|yes|low|low|11-50|low|low|high|service|no|low
Accept|inspection and testing services|1992|crompco.com|0.5|low|low|low|high|yes|low|low|11-50|low|low|high|service|no|medium
Accept|inspection and testing services|2004|csiservices.biz|0.5|low|low|low|high|yes|low|low|11-50|low|low|high|service|no|medium
Accept|janitorial and handyman services|1983|gbmweb.com|0.5|low|low|medium|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Accept|fire protection services|1975|generalfireequipment.net|0.5|medium|low|low|high|yes|low|low|2-10|medium|low|high|product|no|low
Accept|motor vehicle repair and maintenance|1998|gracetrailer.com|0.5|medium|low|low|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Accept|air conditioning services|1953|greensenergy.com|7|medium|low|low|high|yes|low|low|51-200|low|low|high|service|yes|low
Reject|manufacturer chemical containers|1990|chemicalcontainers.com|37|medium|medium|low|high|yes|low|low|51-200|medium|low|high|product|yes|medium
Reject|manufacturer, chemical container|2008|chemicalcontainment.com|15|medium|medium|low|high|yes|low|low|51-200|medium|low|high|product|yes|medium
Reject|online news website|2008|chemicals-technology.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|no|low
Reject|supply chain service manage, maintain, transport|1998|cheppallecon.com|4|low|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|septic cleaning service consulting|1995|chiefsepticvegas.com|0.5|low|low|low|high|yes|low|low|11-50|low|low|high|service|no|medium
Reject|moving storaging service|1970|cisco-eagle.com|12|medium|low|low|high|yes|low|low|51-200|medium|low|high|service|yes|low
Reject|distributor janitorial suppy|2006|cleanitsupply.com|2|low|low|low|high|yes|low|low|11-50|medium|low|high|product|yes|medium
Reject|waste management|1992|cleanmanagement.com|11|low|medium|low|high|yes|low|low|11-50|low|low|high|service|yes|medium
Reject|plumbing service|1963|clevelandplumbingindustry.com|3|low|low|low|high|yes|low|low|11-50|low|low|high|service|no|low
Reject|manufacturer tank containers|2008|clevelandtank.com|0.5|medium|low|low|high|yes|low|low|11-50|low|low|high|service|yes|medium
Reject|leasing oil containers|2008|conserveplc.com|10|low|low|low|high|yes|low|low|51-200|low|low|high|service|yes|medium
Reject|distributor containers|2005|containerexchanger.com|13|low|low|low|high|yes|low|low|51-200|low|low|high|service|yes|medium
Reject|distributor containers|2008|containerexperts.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|education career training certification|2008|contractor-licensing.com|4|low|low|low|high|yes|low|low|11-50|low|low|high|service|yes|medium
Reject|delivery gas fuel truck|1958|corriganoil.com|40|medium|medium|medium|high|yes|low|low|51-200|medium|medium|medium|product|yes|medium
Reject|delivery of liquefied carbon dioxide|1948|cryogasco2.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|yes|medium
Reject|manufacturer industrial filter|1958|cumminsfiltration.com|6|low|low|low|high|yes|low|low|51-200|low|low|high|service|yes|medium
Reject|manufactures?stainless steel equipment|2008|custom-metalcraft.com|6|low|low|low|high|yes|low|low|11-50|low|low|high|service|yes|medium
Accept|document scaning services|1990|scanningamerica.com|27|medium|medium|high|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Accept|testing services environmental testing|2008|radonprms.com|0.5|low|low|low|high|yes|low|low|2-10|low|low|high|service|yes|low
Accept|maintenance and repair|1983|contracttrailer.com|9|low|low|low|high|yes|low|low|11-50|low|low|high|service|yes|low
Accept|metrology|2013|originmetrology.com|0.5|low|low|medium|high|yes|low|low|11-50|low|low|high|service|yes|medium
Accept|radiology|2013|kcconebeam.com|0.7|medium|low|low|high|yes|low|low|2-10|medium|low|high|service|yes|medium
Accept|scanning services|2001|sidekickinc.com|15|medium|medium|high|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Accept|surverying services|1991|berdingsurveying.com|12|medium|low|medium|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Accept|scanning services|2008|shorelinerecordsmanagement.com|3|low|low|high|high|yes|low|low|11-50|medium|low|high|service|yes|medium
Accept|photogrammetry, 3d modeling service|1974|mtzgeo.com|24|medium|low|high|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Accept|answering service|1972|yourccsteam.com|5|low|low|low|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Accept|scanning services for underground structures|2001|groundpenetratingradartexasgpr.com|0.5|medium|low|high|high|yes|low|low|2-10|low|low|high|service|yes|low
Accept|calibration & repair|2010|pro-calibration.com|21|medium|low|medium|high|yes|low|low|51-200|low|low|high|service|yes|medium
Accept|industrial ct & x-ray inspection services|2015|delphiprecisionimaging.com|0.5|medium|low|low|high|yes|low|low|2-10|low|low|high|product|yes|medium
Accept|surveying services|2005|edholmessurveying.com|30|medium|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Accept|laser scanning services|2011|m.truepointscanning.com|0.5|medium|low|medium|high|yes|low|low|2-10|low|medium|medium|service|yes|medium
Accept|staffing services|2001|hiredynamics.com|52|medium|medium|medium|high|yes|low|low|51-200|medium|low|high|service|yes|medium
Accept|document conversion services|1939|imagingservices.com|53|medium|medium|high|high|yes|low|low|201-1000|medium|medium|medium|service|yes|medium
Accept|land surveying services|2008|calvadasurveying.com|26|medium|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Accept|veterinary dental services|2009|veterinarydental.com|2|low|low|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Accept|document scanning services|2003|forensis.com|19|medium|medium|high|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|metrology?service|2008|erieinspection.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|high
Reject|education news online or print|1981|edweek.org|37|medium|medium|medium|high|yes|low|low|201-1000|medium|medium|medium|service|yes|low
Reject|non-profit healthcare|2009|kmsonline.org|10|low|low|low|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|metrology?service|2008|ibbtechusa.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|high
Reject|non-profit children with disability|1955|chs-mo.org|40|low|low|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|vidio game, motion capture and animations|2008|goodbyekansasstudios.com|0.5|low|low|high|high|yes|low|high|2-10|medium|high|medium|service|yes|high
Reject|non-profit, laywer association|1887|nysba.org|3.4|medium|medium|low|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|metrology?service|2008|amcoig.com|0.5|low|low|medium|high|yes|low|low|2-10|low|low|high|service|yes|high
Reject|survey and measuring|1976|shoemaker-haaland.com|35|medium|medium|medium|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|technology news and media network|2011|theverge.com|4|low|low|high|high|yes|low|low|51-200|medium|medium|medium|service|yes|medium
Reject|surveying services|2008|amerisurv.com|21|medium|medium|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
Reject|distributor survey equipment|2003|metrologyequipmentservices.com|13|medium|medium|medium|high|yes|low|low|11-50|medium|medium|medium|service|yes|medium
